timestamp,mint,symbol,entry_price,exit_price,pnl_pct,pnl_usd,equity_after,reason
2026-09-25T21:52:38.649028+00:00,4G5YDqDvwgwSS3nLPDGDpGuetbG7rZYzNSBb1U4Tqbzi,ARENA,0.0006806,0.0006892,1.26,1.26,1001.26,max_hold
2026-09-25T21:52:48.957098+00:00,Adgt7dseCq71eN6GDuoUgpsNQp81ZNhq24nrF7pxpump,Noiz ,0.0001112,0.0001141,2.61,2.61,1003.87,max_hold
2026-09-25T21:52:59.145607+00:00,DmQDfFpbKHna4MgtsZgBQYmyMSNJjvLAj6XjduqRpump,TRUMP,0.0002414,0.0003672,52.11,52.11,1055.98,trailing_stop
